date,food_inflation,oni,month
2012-01-01,-0.21,-0.72,1
2012-02-01,4.45,-0.57,2
2012-03-01,7.09,-0.46,3
2012-04-01,9.32,-0.36,4
2012-05-01,9.7,-0.17,5
2012-06-01,10.47,0.06,6
2012-07-01,11.39,0.3,7
2012-08-01,11.7,0.41,8
2012-09-01,10.36,0.41,9
2012-10-01,9.39,0.31,10
2012-11-01,10.17,0.13,11
2012-12-01,12.19,-0.1,12
2013-01-01,12.847965738758038,-0.29,1
2013-02-01,13.312034078807233,-0.29,2
2013-03-01,11.869747899159666,-0.21,3
2013-04-01,10.36960985626283,-0.19,4
2013-05-01,10.873983739837389,-0.27,5
2013-06-01,12.17564870259482,-0.34,6
2013-07-01,12.171372930866609,-0.35,7
2013-08-01,12.680115273775217,-0.28,8
2013-09-01,13.9846743295019,-0.21,9
2013-10-01,15.553435114503822,-0.13,10
2013-11-01,17.88772597526167,-0.1,11
2013-12-01,13.155386081982833,-0.15,12
2014-01-01,9.68,-0.28,1
2014-02-01,7.89,-0.32,2
2014-03-01,8.64,-0.14,3
2014-04-01,9.21,0.15,4
2014-05-01,8.89,0.31,5
2014-06-01,7.21,0.23,6
2014-07-01,8.85,0.1,7
2014-08-01,8.7,0.11,8
2014-09-01,6.22,0.28,9
2014-10-01,3.88,0.54,10
2014-11-01,1.13,0.71,11
2014-12-01,3.96,0.77,12
2015-01-01,6.14,0.69,1
2015-02-01,6.88,0.61,2
2015-03-01,6.14,0.65,3
2015-04-01,5.11,0.81,4
2015-05-01,4.8,1.02,5
2015-06-01,5.48,1.25,6
2015-07-01,2.15,1.57,7
2015-08-01,2.2,1.91,8
2015-09-01,3.88,2.21,9
2015-10-01,5.25,2.47,10
2015-11-01,6.07,2.64,11
2015-12-01,6.4,2.75,12
2016-01-01,6.85,2.63,1
2016-02-01,5.3,2.28,2
2016-03-01,5.21,1.71,3
2016-04-01,6.4,1.05,4
2016-05-01,7.47,0.49,5
2016-06-01,7.79,0.0,6
2016-07-01,8.35,-0.31,7
2016-08-01,5.91,-0.5,8
2016-09-01,3.96,-0.58,9
2016-10-01,3.32,-0.64,10
2016-11-01,2.03,-0.6,11
2016-12-01,1.37,-0.45,12
